IMIĘ PIERWSZE,PŁEĆ,LICZBA WYSTĄPIEŃ
BOHDANA,KOBIETA,3440
SAMANTA,KOBIETA,3435
ANASTASIA,KOBIETA,3413
OLIMPIA,KOBIETA,3386
NATALLIA,KOBIETA,3368
EVA,KOBIETA,3349
KSENIA,KOBIETA,3238
MARCELA,KOBIETA,3195
MARYLA,KOBIETA,3193
JAGNA,KOBIETA,3146
GALYNA,KOBIETA,3075
LUCJA,KOBIETA,3028
YAROSLAVA,KOBIETA,3019
NEL,KOBIETA,3000
SNIZHANA,KOBIETA,2997
ZYTA,KOBIETA,2966
OKTAWIA,KOBIETA,2952
KONSTANCJA,KOBIETA,2914
DARYA,KOBIETA,2893
PAMELA,KOBIETA,2796
LEONARDA,KOBIETA,2758
ZORIANA,KOBIETA,2749
FELIKSA,KOBIETA,2716
EMILIIA,KOBIETA,2707
WANESSA,KOBIETA,2702
NOEMI,KOBIETA,2692
CLAUDIA,KOBIETA,2673
TETYANA,KOBIETA,2642
NIKOL,KOBIETA,2604
SOPHIE,KOBIETA,2559
EVELINA,KOBIETA,2545
EMILY,KOBIETA,2542
BOGNA,KOBIETA,2510
MARYIA,KOBIETA,2497
IULIIA,KOBIETA,2492
MIRELLA,KOBIETA,2474
ANZHELIKA,KOBIETA,2440
STELLA,KOBIETA,2391
INEZ,KOBIETA,2374
LEA,KOBIETA,2364
GANNA,KOBIETA,2344
MICHELLE,KOBIETA,2288
ZINAIDA,KOBIETA,2284
TOLA,KOBIETA,2272
KRZYSZTOFA,KOBIETA,2270
ZOIA,KOBIETA,2237
NELIA,KOBIETA,2187
SARAH,KOBIETA,2171
OLA,KOBIETA,2169
JAŚMINA,KOBIETA,2159
VALENTINA,KOBIETA,2147
BOLESŁAWA,KOBIETA,2144
SVETLANA,KOBIETA,2126
NADZIEJA,KOBIETA,2122
ANGELA,KOBIETA,2118
EDWARDA,KOBIETA,2098
MILA,KOBIETA,2088
VIKTORYIA,KOBIETA,2082
ELFRYDA,KOBIETA,2064
LIUDMILA,KOBIETA,2056
GALINA,KOBIETA,2044
MIRIAM,KOBIETA,1990
ANA,KOBIETA,1971
SALOMEA,KOBIETA,1965
SVIATLANA,KOBIETA,1957
TAISIIA,KOBIETA,1952
INES,KOBIETA,1947
LARA,KOBIETA,1936
NATALIE,KOBIETA,1888
EDELTRAUDA,KOBIETA,1872
ANTONIA,KOBIETA,1831
VITALINA,KOBIETA,1791
LINA,KOBIETA,1782
MARIETTA,KOBIETA,1774
IZA,KOBIETA,1773
ROMA,KOBIETA,1773
SOPHIA,KOBIETA,1758
VASYLYNA,KOBIETA,1756
ALIAKSANDRA,KOBIETA,1742
ARLETTA,KOBIETA,1717
MAIIA,KOBIETA,1712
ADELINA,KOBIETA,1705
KLEMENTYNA,KOBIETA,1705
ERIKA,KOBIETA,1704
MANUELA,KOBIETA,1695
ELINA,KOBIETA,1674
KLAUDYNA,KOBIETA,1642
VERONICA,KOBIETA,1640
AMINA,KOBIETA,1615
MARGARITA,KOBIETA,1569
RUTA,KOBIETA,1568
NADIYA,KOBIETA,1563
GRETA,KOBIETA,1552
YANINA,KOBIETA,1544
SOFIYA,KOBIETA,1542
LIVIA,KOBIETA,1534
WIERA,KOBIETA,1519
LYUDMYLA,KOBIETA,1514
HELGA,KOBIETA,1512
JANA,KOBIETA,1505
ANDREA,KOBIETA,1490
NIKA,KOBIETA,1489
FLORENTYNA,KOBIETA,1477
MARTINA,KOBIETA,1466
ALA,KOBIETA,1443
GERDA,KOBIETA,1419
GLORIA,KOBIETA,1403
KSENIYA,KOBIETA,1401
ROKSOLANA,KOBIETA,1386
LYUBOV,KOBIETA,1380
DOBROSŁAWA,KOBIETA,1373
EKATERINA,KOBIETA,1351
ISABELLA,KOBIETA,1340
MIRA,KOBIETA,1335
YARYNA,KOBIETA,1332
MALINA,KOBIETA,1325
INA,KOBIETA,1319
LINDA,KOBIETA,1308
EULALIA,KOBIETA,1304
VALERIA,KOBIETA,1298
IRMGARDA,KOBIETA,1292
VIKTORIYA,KOBIETA,1288
KATERINA,KOBIETA,1285
JENNIFER,KOBIETA,1281
JAROSŁAWA,KOBIETA,1279
YELIZAVETA,KOBIETA,1278
BERNARDYNA,KOBIETA,1277
NICOL,KOBIETA,1276
PATRICIA,KOBIETA,1270
SABRINA,KOBIETA,1255
ELLA,KOBIETA,1237
VIOLETA,KOBIETA,1233
ARIANA,KOBIETA,1231
VERANIKA,KOBIETA,1221
ELVIRA,KOBIETA,1220
DINA,KOBIETA,1218
HANNAH,KOBIETA,1214
BOGDANA,KOBIETA,1209
WANESA,KOBIETA,1207
MARCJANNA,KOBIETA,1205
ELIZABETH,KOBIETA,1189
MAJKA,KOBIETA,1181
HANKA,KOBIETA,1181
TEOFILA,KOBIETA,1170
DŻESIKA,KOBIETA,1169
ERNA,KOBIETA,1168
MARITA,KOBIETA,1152
LUDMILA,KOBIETA,1149
SIMONA,KOBIETA,1148
ANDRIANA,KOBIETA,1141
GABRIELLA,KOBIETA,1131
ANIKA,KOBIETA,1130
LARISA,KOBIETA,1127
VALERYIA,KOBIETA,1126
DANA,KOBIETA,1122
PALINA,KOBIETA,1121
WIRGINIA,KOBIETA,1118
VERA,KOBIETA,1114
LUBA,KOBIETA,1114
LIANA,KOBIETA,1110
TAMILA,KOBIETA,1105
ALICE,KOBIETA,1099
LILY,KOBIETA,1089
ALESIA,KOBIETA,1085
CARMEN,KOBIETA,1081
DAJANA,KOBIETA,1072
VLADA,KOBIETA,1070
CAROLINE,KOBIETA,1067
YULIANA,KOBIETA,1066
NAOMI,KOBIETA,1051
EMANUELA,KOBIETA,1043
YULIA,KOBIETA,1039
BALBINA,KOBIETA,1033
DALIA,KOBIETA,1023
NIKOLETTA,KOBIETA,1020
ALICIA,KOBIETA,1019
LIZAVETA,KOBIETA,1017
BERENIKA,KOBIETA,986
NELLY,KOBIETA,981
VITALIIA,KOBIETA,976
ELIZAVETA,KOBIETA,974
BIANCA,KOBIETA,953
AKSANA,KOBIETA,952
LILIYA,KOBIETA,949
RAMONA,KOBIETA,948
KUNEGUNDA,KOBIETA,936
INKA,KOBIETA,934
IRMA,KOBIETA,932
LILLY,KOBIETA,927
DARINA,KOBIETA,923
KORNELA,KOBIETA,918
FILOMENA,KOBIETA,916
SEWERYNA,KOBIETA,914
KRYSTSINA,KOBIETA,904
ULYANA,KOBIETA,904
MAIA,KOBIETA,902
ŻAKLINA,KOBIETA,899
KAYA,KOBIETA,892
IDALIA,KOBIETA,891
IWONNA,KOBIETA,884
SWIETŁANA,KOBIETA,879
JÓZEFINA,KOBIETA,873
MICHAELA,KOBIETA,873
BLANDYNA,KOBIETA,871
AMALIA,KOBIETA,870
HANA,KOBIETA,866
NADZEYA,KOBIETA,864
STEFANIIA,KOBIETA,859
CRISTINA,KOBIETA,857
BENEDYKTA,KOBIETA,857
CAROLINA,KOBIETA,856
EMILA,KOBIETA,851
INGRID,KOBIETA,848
MELANIIA,KOBIETA,845
LUBOMIRA,KOBIETA,843
LIGIA,KOBIETA,839
ABIGAIL,KOBIETA,838
NASTASSIA,KOBIETA,823
MARIAM,KOBIETA,820
MELISA,KOBIETA,818
SYBILLA,KOBIETA,815
MARIE,KOBIETA,810
GABRYELA,KOBIETA,798
ZOE,KOBIETA,796
LEONTYNA,KOBIETA,788
ROXANA,KOBIETA,782
ALIONA,KOBIETA,780
MELISSA,KOBIETA,779
CELESTYNA,KOBIETA,772
LEILA,KOBIETA,771
MONICA,KOBIETA,770
GRACJANA,KOBIETA,766
INGEBORGA,KOBIETA,760
FATIMA,KOBIETA,738
SŁAWA,KOBIETA,733
TAISA,KOBIETA,733
DOBRAWA,KOBIETA,730
AURORA,KOBIETA,729
CLARA,KOBIETA,723
ŻANETTA,KOBIETA,718
MARGARETA,KOBIETA,714
LEONIA,KOBIETA,709
BERNARDETA,KOBIETA,708
ELA,KOBIETA,707
BENITA,KOBIETA,688
DZIYANA,KOBIETA,686
DOMICELA,KOBIETA,676
LISA,KOBIETA,676
MARGARYTA,KOBIETA,675
NINO,KOBIETA,669
TEKLA,KOBIETA,669
KASANDRA,KOBIETA,665
SILVIA,KOBIETA,662
ORIANA,KOBIETA,660
ORYSIA,KOBIETA,659
MYLANA,KOBIETA,655
JESIKA,KOBIETA,655
INESA,KOBIETA,653
IANA,KOBIETA,647
KARIN,KOBIETA,646
BERTA,KOBIETA,646
ARYNA,KOBIETA,638
JASMINA,KOBIETA,637
TINA,KOBIETA,636
NATALYA,KOBIETA,635
EUNIKA,KOBIETA,635
GIULIA,KOBIETA,633
DAGNA,KOBIETA,633
DOBROCHNA,KOBIETA,631
JESSIKA,KOBIETA,624
INHA,KOBIETA,622
ELISABETH,KOBIETA,621
NATHALIE,KOBIETA,620
YAUHENIYA,KOBIETA,620
ELISA,KOBIETA,619
SELENA,KOBIETA,618
JASMIN,KOBIETA,615
SOFIJA,KOBIETA,609
TAMAR,KOBIETA,607
ZOYA,KOBIETA,599
NATASHA,KOBIETA,598
SYLVIA,KOBIETA,593
NELLA,KOBIETA,591
VALIANTSINA,KOBIETA,590
NIKOLINA,KOBIETA,589
TATYANA,KOBIETA,589
SAMANTHA,KOBIETA,586
LIA,KOBIETA,580
MELANIE,KOBIETA,580
LESYA,KOBIETA,579
LIZA,KOBIETA,578
MIROSLAVA,KOBIETA,575
CATHERINE,KOBIETA,575
NELLI,KOBIETA,574
CHARLOTTE,KOBIETA,571
LILI,KOBIETA,568
LAILA,KOBIETA,568
LUCIA,KOBIETA,567
SUSANNA,KOBIETA,564
MARIETA,KOBIETA,557
BOZHENA,KOBIETA,557
LETYCJA,KOBIETA,552
LESŁAWA,KOBIETA,548
NELL,KOBIETA,547
ORYNA,KOBIETA,547
JULITTA,KOBIETA,544
VIVIEN,KOBIETA,538
CHRISTINA,KOBIETA,533
MIRANDA,KOBIETA,532
AUGUSTYNA,KOBIETA,530
SAMIRA,KOBIETA,530
KATHERINE,KOBIETA,527
WILHELMINA,KOBIETA,517
NOA,KOBIETA,516
MIIA,KOBIETA,514
ELMIRA,KOBIETA,512
TEREZA,KOBIETA,511
LUNA,KOBIETA,509
ARIANNA,KOBIETA,508
ARIADNA,KOBIETA,507
MARIJA,KOBIETA,506
KATHARINA,KOBIETA,506
NIKOLETA,KOBIETA,505
SYLWESTRA,KOBIETA,504
JULIANA,KOBIETA,502
KAREN,KOBIETA,501
YAEL,KOBIETA,500
ROZWITA,KOBIETA,498
STANISLAVA,KOBIETA,495
ROZA,KOBIETA,494
MIŁOSŁAWA,KOBIETA,494
ELZA,KOBIETA,487
OXANA,KOBIETA,486
LAYLA,KOBIETA,486
AGNES,KOBIETA,485
VALERIYA,KOBIETA,485
YUSTYNA,KOBIETA,483
ALEVTYNA,KOBIETA,480
ERNESTYNA,KOBIETA,479
IZOLDA,KOBIETA,476
RADOSŁAWA,KOBIETA,473
DOBROMIŁA,KOBIETA,473
ANIA,KOBIETA,473
EMA,KOBIETA,467
ANGELICA,KOBIETA,463
EUFEMIA,KOBIETA,461
JASMINE,KOBIETA,459
RYTA,KOBIETA,456
CHRISTINE,KOBIETA,455
RYMMA,KOBIETA,452
LYUDMILA,KOBIETA,452
PETRONELA,KOBIETA,452
ALMA,KOBIETA,451
HALSZKA,KOBIETA,450
NEONILA,KOBIETA,449
AIDA,KOBIETA,449
CHIARA,KOBIETA,447
MARGOT,KOBIETA,447
LUDOMIRA,KOBIETA,444
JACQUELINE,KOBIETA,443
LIDIYA,KOBIETA,441
SOLOMIYA,KOBIETA,441
GAIA,KOBIETA,434
MATILDA,KOBIETA,434
INGRIDA,KOBIETA,432
ISABELLE,KOBIETA,428
MARTHA,KOBIETA,427
MARGARET,KOBIETA,426
RUTH,KOBIETA,426
MARYANA,KOBIETA,426
YEVANHELINA,KOBIETA,424
ISMENA,KOBIETA,419
IEVGENIIA,KOBIETA,415
LUBOV,KOBIETA,413
ANIDA,KOBIETA,412
AMY,KOBIETA,412
ISABEL,KOBIETA,408
FRANCESCA,KOBIETA,407
JELENA,KOBIETA,407
FRYDERYKA,KOBIETA,406
MICHAL,KOBIETA,406
ZLATOSLAVA,KOBIETA,404
ANDŻELINA,KOBIETA,404
CHLOE,KOBIETA,404
AMIRA,KOBIETA,403
DEBORA,KOBIETA,402
ZENAIDA,KOBIETA,401
KSYMENA,KOBIETA,401
STEPHANIE,KOBIETA,399
REHINA,KOBIETA,398
NASTIA,KOBIETA,397
MARY,KOBIETA,395
YASMIN,KOBIETA,394
BETINA,KOBIETA,393
BENIGNA,KOBIETA,393
CYRYLA,KOBIETA,392
DELFINA,KOBIETA,391
INESSA,KOBIETA,391
JESICA,KOBIETA,391
HIACYNTA,KOBIETA,390
IRENE,KOBIETA,386
NARCYZA,KOBIETA,384
LUKRECJA,KOBIETA,381
EMILIYA,KOBIETA,379
PAOLA,KOBIETA,377
LUBOW,KOBIETA,377
LUCY,KOBIETA,374
IWETTA,KOBIETA,374
AMELIE,KOBIETA,374
DAIANA,KOBIETA,373
MADINA,KOBIETA,371
GRACJA,KOBIETA,371
JULIE,KOBIETA,370
NADINE,KOBIETA,369
ANNE,KOBIETA,369
LADA,KOBIETA,369
RACHEL,KOBIETA,366
WALTRAUDA,KOBIETA,366
IWETA,KOBIETA,363
ZARINA,KOBIETA,361
ANNA-MARIIA,KOBIETA,360
VASILISA,KOBIETA,359
OLESYA,KOBIETA,359
NANA,KOBIETA,359
LEYLA,KOBIETA,358
ELIANA,KOBIETA,354
NICOLETTA,KOBIETA,354
SCHOLASTYKA,KOBIETA,353
ANICETA,KOBIETA,353
ŻANNA,KOBIETA,352
JULIIA,KOBIETA,352
LOLITA,KOBIETA,350
BIBIANNA,KOBIETA,348
AISHA,KOBIETA,345
LUISA,KOBIETA,344
LUDMYLA,KOBIETA,343
ECATERINA,KOBIETA,342
SHARON,KOBIETA,341
EMILIE,KOBIETA,336
MALIKA,KOBIETA,336
THI,KOBIETA,334
CARLA,KOBIETA,333
HERMINA,KOBIETA,333
KESJA,KOBIETA,332
LARISSA,KOBIETA,330
NADEZHDA,KOBIETA,322
VIVIENNE,KOBIETA,321
ANDRZELIKA,KOBIETA,318
AŁŁA,KOBIETA,318
CAMILLA,KOBIETA,317
ADI,KOBIETA,317
KATIA,KOBIETA,317
ILZA,KOBIETA,316
LYDIA,KOBIETA,316
YULIANNA,KOBIETA,316
HELEN,KOBIETA,316
VLADISLAVA,KOBIETA,315
JOHANNA,KOBIETA,314
ADAMINA,KOBIETA,314
SZARLOTA,KOBIETA,314
NATIA,KOBIETA,312
KLAVDIIA,KOBIETA,311
KATARINA,KOBIETA,310
MEGAN,KOBIETA,308
MODESTA,KOBIETA,308
MIKA,KOBIETA,308
LIUBOU,KOBIETA,307
IULIA,KOBIETA,307
ROSE,KOBIETA,306
RACHELA,KOBIETA,306
CAMILA,KOBIETA,306
ELENI,KOBIETA,306
LUDWINA,KOBIETA,304
LORENA,KOBIETA,304
NILA,KOBIETA,301
ASTRID,KOBIETA,300
SUSANNE,KOBIETA,300
LANA,KOBIETA,298
CORNELIA,KOBIETA,297
LIUBOMYRA,KOBIETA,295
SWITŁANA,KOBIETA,295
NASTAZJA,KOBIETA,294
ESTHER,KOBIETA,294
MALVINA,KOBIETA,293
MARYAM,KOBIETA,293
WERA,KOBIETA,293
KARINE,KOBIETA,292
ALESSANDRA,KOBIETA,292
GRACE,KOBIETA,290
SONJA,KOBIETA,289
PETRA,KOBIETA,288
OTOLIA,KOBIETA,288
YESENIIA,KOBIETA,287
ALESSIA,KOBIETA,286
REBECCA,KOBIETA,285
ANJA,KOBIETA,285
LEONORA,KOBIETA,285
AMELIIA,KOBIETA,283
INGRYDA,KOBIETA,282
OLIVIIA,KOBIETA,281
YEVDOKIIA,KOBIETA,281
KARMEN,KOBIETA,280
